timestamp,fuel,percentage
2026-07-05T15:00Z,coal,0.0
2026-07-05T15:00Z,imports,21.7
2026-07-05T15:00Z,gas,11.3
2026-07-05T15:00Z,nuclear,9.5
2026-07-05T15:00Z,other,2.1
2026-07-05T15:00Z,hydro,0.7
2026-07-05T15:00Z,solar,30.0
2026-07-05T15:00Z,wind,20.7
2026-07-05T15:30Z,biomass,3.9
2026-07-05T15:30Z,coal,0.0
2026-07-05T15:30Z,imports,21.3
2026-07-05T15:30Z,gas,13.2
2026-07-05T15:30Z,nuclear,9.4
2026-07-05T15:30Z,other,1.9
2026-07-05T15:30Z,hydro,1.7
2026-07-05T15:30Z,solar,26.8
2026-07-05T15:30Z,wind,21.8
2026-07-05T16:00Z,biomass,4.0
2026-07-05T16:00Z,coal,0.0
2026-07-05T16:00Z,imports,21.1
2026-07-05T16:00Z,gas,15.0
2026-07-05T16:00Z,nuclear,9.2
2026-07-05T16:00Z,other,2.4
2026-07-05T16:00Z,hydro,2.9
2026-07-05T16:00Z,solar,23.4
2026-07-05T16:00Z,wind,22.1
2026-07-05T16:30Z,biomass,5.0
2026-07-05T16:30Z,coal,0.0
2026-07-05T16:30Z,imports,21.9
2026-07-05T16:30Z,gas,15.3
2026-07-05T16:30Z,nuclear,9.3
2026-07-05T16:30Z,other,2.9
2026-07-05T16:30Z,hydro,2.9
2026-07-05T16:30Z,solar,19.6
2026-07-05T16:30Z,wind,23.0
2026-07-05T17:00Z,biomass,6.1
2026-07-05T17:00Z,coal,0.0
2026-07-05T17:00Z,imports,22.1
2026-07-05T17:00Z,gas,17.5
2026-07-05T17:00Z,nuclear,9.4
2026-07-05T17:00Z,other,3.1
2026-07-05T17:00Z,hydro,3.4
2026-07-05T17:00Z,solar,15.0
2026-07-05T17:00Z,wind,23.4
2026-07-05T17:30Z,biomass,6.4
2026-07-05T17:30Z,coal,0.0
2026-07-05T17:30Z,imports,22.3
2026-07-05T17:30Z,gas,18.7
2026-07-05T17:30Z,nuclear,9.5
2026-07-05T17:30Z,other,3.6
2026-07-05T17:30Z,hydro,3.6
2026-07-05T17:30Z,solar,11.9
2026-07-05T17:30Z,wind,23.9
2026-07-05T18:00Z,biomass,6.5
2026-07-05T18:00Z,coal,0.0
2026-07-05T18:00Z,imports,22.7
2026-07-05T18:00Z,gas,19.8
2026-07-05T18:00Z,nuclear,9.8
2026-07-05T18:00Z,other,3.8
2026-07-05T18:00Z,hydro,3.8
2026-07-05T18:00Z,solar,9.3
2026-07-05T18:00Z,wind,24.4
2026-07-05T18:30Z,biomass,6.9
2026-07-05T18:30Z,coal,0.0
2026-07-05T18:30Z,imports,19.7
2026-07-05T18:30Z,gas,20.8
2026-07-05T18:30Z,nuclear,10.3
2026-07-05T18:30Z,other,5.7
2026-07-05T18:30Z,hydro,4.7
2026-07-05T18:30Z,solar,6.7
2026-07-05T18:30Z,wind,25.1
2026-07-05T19:00Z,biomass,7.1
2026-07-05T19:00Z,coal,0.0
2026-07-05T19:00Z,imports,20.3
2026-07-05T19:00Z,gas,21.6
2026-07-05T19:00Z,nuclear,10.7
2026-07-05T19:00Z,other,5.6
2026-07-05T19:00Z,hydro,5.2
2026-07-05T19:00Z,solar,4.0
2026-07-05T19:00Z,wind,25.6
2026-07-05T19:30Z,biomass,7.0
2026-07-05T19:30Z,coal,0.0
2026-07-05T19:30Z,imports,18.3
2026-07-05T19:30Z,gas,23.3
2026-07-05T19:30Z,nuclear,10.5
2026-07-05T19:30Z,other,8.4
2026-07-05T19:30Z,hydro,5.1
2026-07-05T19:30Z,solar,1.7
2026-07-05T19:30Z,wind,25.6
2026-07-05T20:00Z,biomass,8.6
2026-07-05T20:00Z,coal,0.0
2026-07-05T20:00Z,imports,18.3
2026-07-05T20:00Z,gas,24.9
2026-07-05T20:00Z,nuclear,12.6
2026-07-05T20:00Z,other,0.0
2026-07-05T20:00Z,hydro,0.1
2026-07-05T20:00Z,solar,1.8
2026-07-05T20:00Z,wind,33.8
